IR,14,1,164.52.224.115
IR,0,1,130.49.135.11
IR,28,1,164.52.224.115
IR,1,1,74.98.221.152
IR,20,1,164.52.224.115
IR,24,1,164.52.224.115
IR,13,1,164.52.224.115
IR,16,2,74.98.221.152,164.52.224.115
IR,15,1,74.98.221.152
IR,18,1,74.98.221.152
IR,9,1,164.52.224.115
IR,2,1,164.52.224.115
IR,23,1,164.52.224.115
IR,26,1,164.52.224.115
IR,27,1,164.52.224.115
IR,19,2,74.98.221.152,164.52.224.115
IR,4,2,74.98.221.152,164.52.224.115
IR,3,1,74.98.221.152
IR,7,1,74.98.221.152
IR,8,1,74.98.221.152
IR,17,1,74.98.221.152
IR,6,1,164.52.224.115
IR,21,1,164.52.224.115
IR,22,1,164.52.224.115
IR,5,1,164.52.224.115
IR,11,1,164.52.224.115
IR,12,1,164.52.224.115
IR,25,1,164.52.224.115
IR,10,1,164.52.224.115
IR,29,1,74.98.221.152
HCI,0,0
HCI,1,0
HCI,2,0
HCI,3,0
HCI,4,0
HCI,5,0
HCI,6,0
HCI,7,0
HCI,8,0
HCI,9,0
HCI,10,0
HCI,11,0
HCI,12,0
HCI,13,0
HCI,14,0
HCI,15,0
HCI,16,0
HCI,17,0
HCI,18,0
HCI,19,0
HCI,20,0
HCI,21,0
HCI,22,0
HCI,23,0
HCI,24,0
HCI,25,0
HCI,26,0
HCI,27,0
HCI,28,0
HCI,29,0
HCI,30,0
HCI,31,0
HCI,32,0
HCI,33,0
HCI,34,0
HCI,35,0
HCI,36,0
HCI,37,0
HCI,38,0
HCI,39,0
HCI,40,0
HCI,41,0
HCI,42,0
HCI,43,0
HCI,44,0
HCI,45,0
HCI,46,0
HCI,47,0
HCI,48,0
HCI,49,0
HCI,50,0
HCI,51,0
HCI,52,0
HCI,53,0
HCI,54,0
HCI,55,0
HCI,56,0
HCI,57,0
Java,0,0
Java,1,0
Java,2,0
Java,3,0
Java,4,0
Java,5,0
Java,6,0
Java,7,0
Java,8,0
Java,9,0
Java,10,0
Java,11,0
Java,12,0
Java,13,0
Java,14,0
Java,15,0
Java,16,0
Java,17,0
Java,18,0
Java,19,0
Java,20,0
Java,21,0
Java,22,0
Java,23,0
Java,24,0
Java,25,0
Java,26,0
Java,27,0
Java,28,0
Java,29,0
Java,30,0
Java,31,0
Java,32,0
Java,33,0
Java,34,0
Java,35,0
Java,36,0
Java,37,0
Java,38,0
Java,39,0
DB,0,0
DB,1,0
DB,2,0
DB,3,0
DB,4,0
DB,5,0
DB,6,0
DB,7,0
DB,8,0
DB,9,0
DB,10,0
DB,11,0
DB,12,0
DB,13,0
DB,14,0
DB,15,0
DB,16,0
DB,17,0
DB,18,0
DB,19,0
DB,20,0
DB,21,0
DB,22,0
DB,23,0
DB,24,0
DB,25,0
DB,26,0
DB,27,0
DB,28,0
DB,29,0
